ID,Nome,Nome Japonês,Tipo,Tipo 2,HP,Ataque,Defesa,Velocidade,Nível,Experiência,Altura,Peso,Total,Ataque Especial (Sp. Atk),Defesa Especial (Sp. Def),Geração,É Lendário,Percentual Masculino,Classificação,Taxa de Captura,Passos para Chocar,Habilidades,Crescimento de Experiência,Felicidade Base
1,Raticate,Olivia,Lutador,Fada,35.0,85.0,119.0,75.0,62,7214.0,,255.42,471,14.0,138.0,7,0,98.14120564454817,they,76.0,9226.0,heavy,,41.0
2,Squirtle,Richard,Fogo,Gelo,185.0,104.0,141.0,80.0,7,,0.89,225.18,703,119.0,99.0,6,0,77.54306250727336,full,129.0,2247.0,score,1557745.0,94.0
3,Mewtwo,Deborah,Elétrico,Grama,56.0,98.0,107.0,90.0,52,8731.0,2.01,159.85,603,139.0,12.0,7,0,54.73507012977894,college,194.0,,,1499489.0,59.0
4,Rattata,Mikayla,Grama,,36.0,69.0,43.0,70.0,83,2761.0,2.03,259.16,592,136.0,,1,0,72.21299498714518,player,192.0,8067.0,me,973080.0,197.0
5,Magmar,Wayne,Fantasma,Lutador,150.0,71.0,61.0,67.0,4,8088.0,1.51,134.16,528,91.0,129.0,2,0,50.127330570196605,treat,205.0,6795.0,why,606249.0,81.0
6,Muk,Samantha,Lutador,,94.0,58.0,133.0,,61,6115.0,0.89,241.01,458,146.0,17.0,6,0,8.276898705456881,lose,42.0,4095.0,policy,1095573.0,157.0
7,Omanyte,Marcus,Elétrico,Fantasma,41.0,100.0,43.0,,51,726.0,1.52,127.14,563,122.0,124.0,6,0,93.48153112290024,likely,81.0,6237.0,unit,1309891.0,62.0
8,Gengar,Lisa,Sombrio,,74.0,38.0,119.0,108.0,81,1804.0,0.64,151.13,641,62.0,86.0,6,0,30.680553466311455,account,38.0,2747.0,day,695601.0,100.0
9,Graveler,Alexander,Aço,Elétrico,73.0,114.0,26.0,76.0,57,2428.0,1.26,202.44,586,84.0,,3,0,25.829238312160598,director,192.0,7616.0,,1624131.0,239.0
10,Lapras,Rachel,Psíquico,Gelo,186.0,126.0,70.0,13.0,93,2556.0,,3.22,479,115.0,117.0,5,0,53.47419582420746,power,1.0,9691.0,administration,1639529.0,205.0
11,Wartortle,Mitchell,Gelo,,192.0,81.0,146.0,64.0,82,8516.0,,257.82,346,61.0,89.0,1,0,70.36400287323855,strong,145.0,5332.0,knowledge,702993.0,212.0
12,Kabutops,Mariah,Fada,Sombrio,,107.0,25.0,73.0,51,1258.0,1.01,,784,26.0,117.0,6,0,66.846690007435,method,153.0,2457.0,process,1601407.0,210.0
13,Fearow,Andrew,Aço,,174.0,37.0,13.0,65.0,14,1121.0,1.91,203.76,726,49.0,31.0,1,0,61.5814504937767,scene,90.0,3028.0,foreign,1223193.0,187.0
14,Golem,Jim,Fogo,,130.0,100.0,,88.0,76,4624.0,1.97,109.15,348,43.0,35.0,2,0,16.34156442891853,trial,198.0,7290.0,claim,811389.0,46.0
15,Shellder,Crystal,Sombrio,,172.0,143.0,97.0,7.0,76,3192.0,1.92,,637,14.0,71.0,3,0,2.4418860631683637,girl,,1840.0,argue,794681.0,139.0
16,Mewtwo,Jeffrey,Dragão,,101.0,53.0,,131.0,66,4891.0,1.44,174.37,293,59.0,113.0,6,0,60.57005784038421,real,123.0,7231.0,firm,1094291.0,206.0
17,Machamp,Holly,Lutador,,197.0,62.0,108.0,120.0,29,2205.0,,235.69,427,43.0,89.0,3,0,1.5959914295428757,step,16.0,1538.0,foot,810825.0,149.0
18,Slowbro,Daniel,Grama,,31.0,128.0,32.0,107.0,46,4450.0,,,336,94.0,68.0,6,0,56.75198983881613,Republican,140.0,7052.0,modern,1514892.0,191.0
19,Chansey,Matthew,Pedra,,80.0,108.0,130.0,,54,5128.0,1.56,219.84,631,51.0,108.0,5,0,4.223966890755381,rich,6.0,2644.0,six,832933.0,11.0
20,Arbok,Krista,Voador,,42.0,120.0,145.0,110.0,89,1924.0,,,410,38.0,105.0,6,0,54.94313767209458,table,192.0,2887.0,meet,768668.0,229.0
21,Pidgeotto,Megan,Pedra,,,44.0,76.0,142.0,87,9086.0,1.59,105.48,461,134.0,142.0,3,0,98.756480214951,however,151.0,8416.0,thus,1275015.0,153.0
22,Dragonite,Patty,Aço,,,47.0,13.0,59.0,50,,,,566,107.0,30.0,3,0,22.29575132995415,paper,192.0,3399.0,later,1144579.0,126.0
23,Fearow,Matthew,Dragão,,130.0,37.0,121.0,45.0,35,7327.0,0.6,132.71,775,134.0,,2,0,10.547375212559839,cut,170.0,7885.0,we,1095081.0,113.0
24,Charmander,Billy,Fada,,131.0,24.0,54.0,78.0,58,7677.0,1.97,41.97,246,19.0,100.0,3,0,18.036938955378556,bill,209.0,6897.0,car,1305114.0,63.0
25,Diglett,Michael,Aço,,112.0,17.0,,,96,8488.0,2.42,200.21,495,141.0,147.0,7,0,53.82710404917314,task,20.0,9607.0,foreign,1419467.0,9.0
26,Pidgey,Renee,Psíquico,,115.0,31.0,58.0,5.0,86,,,10.52,521,10.0,79.0,3,0,55.13162178414382,full,207.0,5039.0,reflect,,134.0
27,Ekans,Martha,Sombrio,,65.0,120.0,92.0,118.0,4,9475.0,2.24,24.23,525,63.0,56.0,1,0,25.854557281635948,section,186.0,2971.0,deal,904417.0,47.0
28,Shellder,Tracy,Voador,,132.0,145.0,80.0,119.0,39,1626.0,,141.2,442,69.0,34.0,4,0,37.95986358921786,exist,228.0,5670.0,this,737630.0,99.0
29,Nidoran♂,Jennifer,Sombrio,,184.0,57.0,114.0,143.0,81,3287.0,1.57,80.85,201,46.0,135.0,3,0,90.27934453971885,imagine,125.0,4677.0,establish,733929.0,92.0
30,Arbok,Anita,Fogo,,163.0,37.0,,44.0,96,6476.0,0.51,,794,149.0,127.0,7,1,11.65791696434324,sister,23.0,3945.0,,1492805.0,53.0
31,Nidoran♂,Rebecca,Fada,Gelo,173.0,15.0,114.0,84.0,10,4392.0,1.52,81.47,646,142.0,38.0,3,0,64.39171144490552,garden,115.0,,over,1223564.0,118.0
32,Dratini,Tiffany,Dragão,Voador,68.0,57.0,27.0,69.0,51,6447.0,0.47,111.51,739,61.0,121.0,3,0,35.96140938549889,point,71.0,5604.0,staff,1343508.0,166.0
33,Nidoran♀,Robert,Fada,,,77.0,,71.0,58,7611.0,0.46,,293,135.0,103.0,4,0,84.77013649062309,central,47.0,3178.0,note,891269.0,
34,Tentacool,Rachel,Psíquico,,,56.0,113.0,39.0,26,2694.0,0.89,,588,129.0,,6,0,72.33770704682125,his,57.0,6960.0,tax,1199197.0,187.0
35,Spearow,Christine,Pedra,,118.0,78.0,62.0,70.0,87,5575.0,1.48,79.75,258,69.0,63.0,2,0,42.09407165609601,these,141.0,5786.0,week,988476.0,83.0
36,Marowak,Tanya,Inseto,,148.0,19.0,,122.0,18,3941.0,1.06,,713,78.0,,7,0,42.618786129887646,second,66.0,1899.0,pass,1139632.0,190.0
37,Raichu,Tyrone,Inseto,Gelo,96.0,123.0,,69.0,9,,1.13,,485,111.0,80.0,2,0,85.51186453866615,whose,75.0,9933.0,difficult,789813.0,248.0
38,Voltorb,Deanna,Grama,,140.0,141.0,111.0,36.0,10,6555.0,2.49,151.27,483,63.0,,4,0,46.4739607011044,between,210.0,6455.0,suffer,744004.0,209.0
39,Gloom,Lisa,Grama,Psíquico,86.0,44.0,63.0,,55,1568.0,1.62,,691,51.0,142.0,4,0,92.8559278852442,me,107.0,,president,1444925.0,162.0
40,Golem,Nicole,Elétrico,Lutador,62.0,,140.0,,54,,,213.06,216,136.0,51.0,4,0,17.10208792395762,particular,180.0,7960.0,lose,780604.0,118.0
41,Eevee,Amanda,Voador,,,144.0,130.0,117.0,69,7208.0,2.26,256.53,692,,119.0,4,0,31.00640254357099,claim,47.0,4405.0,son,708186.0,112.0
42,Dragonite,Denise,Fada,,78.0,75.0,15.0,28.0,75,8791.0,2.45,,383,108.0,148.0,6,0,7.044617763010308,discussion,3.0,1549.0,still,1214007.0,102.0
43,Weezing,Maureen,Fogo,,78.0,94.0,69.0,103.0,67,989.0,1.4,206.07,235,65.0,65.0,1,0,18.401819566458077,community,,9606.0,power,1516541.0,11.0
44,Charizard,James,Aço,,127.0,20.0,147.0,60.0,1,9852.0,,,693,42.0,17.0,2,0,18.35138408461756,able,106.0,7060.0,at,879183.0,
45,Moltres,Ann,Dragão,Gelo,20.0,82.0,83.0,23.0,89,,1.76,,320,87.0,47.0,3,0,14.338340796257654,five,,5833.0,structure,659601.0,11.0
46,Beedrill,Becky,Grama,,83.0,146.0,94.0,33.0,5,8801.0,0.44,264.91,211,33.0,86.0,2,0,76.29038592936239,south,99.0,5940.0,learn,1286396.0,80.0
47,Exeggutor,Jill,Gelo,Inseto,173.0,102.0,,,87,343.0,,174.27,243,47.0,49.0,6,0,23.58098273456428,increase,190.0,2115.0,both,1483090.0,19.0
48,Mewtwo,Jasmine,Fantasma,Fogo,71.0,16.0,65.0,59.0,29,9383.0,1.48,,794,129.0,,6,1,42.702433723063585,new,137.0,5635.0,a,,43.0
49,Porygon,April,Lutador,Aço,61.0,86.0,81.0,,66,1625.0,2.05,60.23,589,122.0,146.0,4,0,12.110591401458247,sometimes,101.0,3330.0,I,980528.0,195.0
50,Blastoise,Ronnie,Lutador,,162.0,46.0,123.0,,91,3131.0,0.72,65.16,659,,80.0,3,0,18.190668518964515,growth,33.0,4186.0,sit,1433000.0,38.0
51,Nidoking,Russell,Gelo,,129.0,126.0,71.0,,69,417.0,1.66,40.03,387,68.0,37.0,4,0,8.315501037987527,thought,197.0,8740.0,each,953858.0,
52,Kingler,Morgan,Voador,,137.0,25.0,,,54,7770.0,0.86,202.89,618,119.0,40.0,2,0,25.826253725956672,soon,198.0,,,729007.0,38.0
53,Diglett,Mary,Sombrio,,182.0,26.0,110.0,76.0,84,7408.0,,,477,45.0,97.0,2,0,46.38006905091064,material,168.0,7730.0,leg,1056602.0,161.0
54,Seadra,Shelly,Fogo,,,27.0,116.0,26.0,32,6963.0,2.15,,320,33.0,22.0,6,0,18.472614262458542,heart,,7683.0,medical,636752.0,244.0
55,Kabutops,Emma,Aço,,64.0,83.0,86.0,,31,5936.0,2.18,,214,95.0,16.0,4,0,79.80635635600406,reveal,17.0,9060.0,yeah,602088.0,
56,Shellder,Jordan,Gelo,,54.0,68.0,96.0,35.0,29,5424.0,1.96,,575,82.0,13.0,4,0,69.73611167891683,have,94.0,7811.0,list,707587.0,23.0
57,Electrode,Dustin,Água,,196.0,77.0,56.0,83.0,49,5942.0,0.95,55.56,695,130.0,103.0,7,0,19.25772771346932,black,64.0,6617.0,,1387197.0,
58,Magneton,Jonathan,Fogo,,,60.0,136.0,140.0,21,8111.0,0.76,,282,96.0,57.0,2,0,6.267800677602075,nothing,44.0,1491.0,suggest,1099613.0,238.0
59,Staryu,William,Voador,,71.0,125.0,145.0,106.0,56,5618.0,,156.32,713,99.0,58.0,2,0,10.726190153158432,management,68.0,5564.0,purpose,626420.0,24.0
60,Mew,Cindy,Lutador,,,114.0,17.0,44.0,46,2117.0,,217.34,209,135.0,132.0,5,0,55.009987353530796,case,116.0,4354.0,my,888537.0,138.0
61,Squirtle,Taylor,Sombrio,Pedra,,56.0,106.0,70.0,50,7372.0,1.77,194.67,678,89.0,45.0,3,0,47.71647492734835,sure,30.0,1253.0,government,1148368.0,70.0
62,Eevee,Belinda,Grama,,161.0,135.0,19.0,,30,5705.0,0.39,203.46,270,13.0,95.0,3,0,90.04133844761003,reason,100.0,4538.0,entire,653960.0,27.0
63,Porygon,Leslie,Lutador,,167.0,79.0,120.0,,6,,,119.62,588,33.0,130.0,1,0,89.80534802753198,by,197.0,1945.0,western,787251.0,1.0
64,Machoke,Kathleen,Dragão,,90.0,99.0,131.0,80.0,94,7711.0,2.32,53.74,577,22.0,131.0,2,0,73.41499818288067,common,17.0,5227.0,book,1076904.0,51.0
